词语,舒适度,款式,尺码,正品,颜色,做工细节,物流服务,性价比,商品整体质量,售后服务,售前服务
不语,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
不透气,0.000960,0.000310,0.000348,0.000295,0.000322,0.000411,0.000298,0.000293,0.000232,0.000351,0.000276
不错呀,0.000204,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
不鸟,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
丑,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000232,0.000292,0.000276
丑味,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
丑死,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000232,0.000292,0.000276
丑点,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
专业,0.001280,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
专业户,0.000146,0.000310,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
专业知识,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
专卖店,0.000247,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
专家,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000232,0.000292,0.000276
专柜,0.000349,0.000310,0.000319,0.000295,0.000293,0.000228,0.000271,0.000322,0.000255,0.000322,0.000276
专货,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
专门,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
世界,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
业,0.000233,0.000282,0.000290,0.000295,0.000293,0.000228,0.000298,0.000293,0.000232,0.000292,0.000276
业余,0.000524,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
业余时间,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
业务,0.001062,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000255,0.000322,0.000276
东,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
东东,0.000567,0.000310,0.000290,0.000354,0.000351,0.000228,0.000271,0.000293,0.000301,0.000351,0.000331
东北,0.000276,0.000282,0.000290,0.000324,0.000293,0.000297,0.000325,0.000322,0.000232,0.000292,0.000303
东西,0.000989,0.000423,0.000406,0.000442,0.000322,0.000297,0.000433,0.000440,0.016684,0.000526,0.000414
两块钱,0.000146,0.000282,0.000290,0.000324,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
两用,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
两码,0.000742,0.000367,0.000290,0.000295,0.000293,0.000297,0.000271,0.000293,0.000324,0.000292,0.000276
两鬓,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
个,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000322,0.000276
个人,0.000626,0.000282,0.000319,0.000295,0.000351,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
个人感觉,0.000204,0.000310,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000322,0.000303
个例,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
个准,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000255,0.000292,0.000276
个别,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
个号,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
个子,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
个差,0.000204,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
个性,0.000437,0.000310,0.000290,0.000295,0.000322,0.000228,0.000298,0.000352,0.000324,0.000292,0.000276
个把月,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
个码,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000322,0.000276
个货,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
丫丫,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000303
中,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000298,0.000293,0.000255,0.000292,0.000276
中压,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中国,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000322,0.000276
中差,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中年人,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000303
中得,0.000146,0.000282,0.000319,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中快哈,0.000146,0.000282,0.000290,0.000324,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中意,0.000218,0.000282,0.000290,0.000295,0.000293,0.000228,0.000298,0.000352,0.000232,0.000292,0.000276
中文,0.000160,0.000282,0.000290,0.000295,0.000322,0.000228,0.000271,0.000293,0.000255,0.000292,0.000276
中毒,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000255,0.000292,0.000276
中空,0.000160,0.000310,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中老年人,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中肯,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中评,0.000160,0.000282,0.000319,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中趾,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
中通,0.000218,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000278,0.000292,0.000276
中那,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000298,0.000293,0.000232,0.000292,0.000276
主人,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
主管,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000322,0.000276
么,0.000611,0.000282,0.000290,0.000324,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
之清莲,0.000146,0.000282,0.000290,0.000295,0.000322,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
乌龟,0.000218,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
乐园,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
乔玲,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
乞丐,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
习惯,0.001862,0.000282,0.000348,0.000324,0.000351,0.000251,0.000379,0.000381,0.000301,0.000322,0.000276
习惯性,0.000466,0.000339,0.000319,0.000295,0.000293,0.000274,0.000271,0.000381,0.000255,0.000322,0.000276
买家,0.003929,0.000282,0.000290,0.000383,0.000351,0.000228,0.000298,0.000352,0.000371,0.000292,0.000359
买房子,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
买款,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
买的,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
买者,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
买鞋,0.000844,0.000282,0.000290,0.000295,0.000322,0.000343,0.000271,0.000352,0.000278,0.000322,0.000276
乱收费,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
事,0.000378,0.000282,0.000290,0.000324,0.000322,0.000228,0.000271,0.000322,0.000232,0.000292,0.000303
事业,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
事件,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
事儿,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
事实,0.000189,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000278,0.000292,0.000276
事情,0.000218,0.000282,0.000290,0.000295,0.000293,0.000274,0.000271,0.000293,0.000232,0.000322,0.000303
亏本,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
云里雾里,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000322,0.000276
五星,0.001877,0.000282,0.000377,0.000295,0.000380,0.000251,0.000298,0.000293,0.000255,0.000380,0.000331
五颗星,0.000204,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000232,0.000292,0.000276
亚麻,0.000160,0.000310,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
交代,0.000175,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000303
交感,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
交易,0.000276,0.000282,0.000290,0.000295,0.000293,0.000251,0.000298,0.000293,0.000232,0.000292,0.000276
交流,0.000146,0.000282,0.000290,0.000324,0.000293,0.000228,0.000271,0.000293,0.000255,0.000292,0.000276
交道,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
产品,0.000640,0.000310,0.000290,0.000324,0.000293,0.000251,0.000352,0.000293,0.000348,0.000322,0.000276
产品包装,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
产品质量,0.000306,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亮,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亮光,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亮度,0.000146,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
亮皮,0.000146,0.000282,0.000319,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亮眼,0.000160,0.000282,0.000290,0.000295,0.000322,0.000228,0.000298,0.000293,0.000232,0.000292,0.000276
亮面,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亲,0.000291,0.000282,0.000290,0.000324,0.000351,0.000228,0.000298,0.000293,0.000255,0.000322,0.000303
亲人,0.000189,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亲们,0.000626,0.000282,0.000290,0.000324,0.000293,0.000251,0.000325,0.000352,0.000255,0.000322,0.000303
亲家,0.000189,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亲想,0.000146,0.000282,0.000290,0.000295,0.000322,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亲戚,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000232,0.000292,0.000276
亲民,0.000160,0.000282,0.000290,0.000295,0.000322,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
亲说,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000322,0.000276
亲身,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人,0.005936,0.000310,0.000319,0.000354,0.000322,0.000388,0.000298,0.000293,0.000324,0.000322,0.000331
人事,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人体,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人员,0.000364,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000255,0.000292,0.000303
人品,0.000189,0.000282,0.000290,0.000295,0.000293,0.000274,0.000271,0.000293,0.000232,0.000292,0.000303
人士,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人家,0.000306,0.000282,0.000319,0.000295,0.000322,0.000251,0.000271,0.000293,0.000255,0.000322,0.000276
人差,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人带,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000298,0.000293,0.000232,0.000292,0.000276
人情,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人民,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人理,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人群,0.000393,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人选,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人造,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人造毛,0.000204,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人造皮,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人造革,0.000189,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
人间,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
今天上午,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
今天下午,0.000218,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
仓库,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
仔细检查,0.000189,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
付款单,0.000146,0.000310,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
代,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
代理,0.000218,0.000310,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
代签,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000303
代表,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
代言,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
令人,0.000189,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000255,0.000292,0.000276
以身相许,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
价,0.001615,0.000367,0.000319,0.000383,0.000293,0.000251,0.000298,0.000293,0.000278,0.000351,0.000331
价一货,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
价买,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
价位,0.001179,0.000310,0.000319,0.000324,0.000293,0.000434,0.000298,0.000322,0.000301,0.000380,0.000386
价值,0.000276,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000278,0.000292,0.000276
价嘛,0.000146,0.000282,0.000290,0.000295,0.000322,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
价太值,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
价廉,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
价是,0.000160,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
价格,0.001280,0.000423,0.000377,0.000324,0.000351,0.000822,0.000352,0.011721,0.000811,0.000322,0.000276
价格低,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
价格便宜,0.000567,0.000339,0.000290,0.000324,0.000293,0.000251,0.000406,0.000352,0.000301,0.000292,0.000276
价格公道,0.000291,0.000282,0.000290,0.000295,0.000322,0.000251,0.000271,0.000293,0.000232,0.000322,0.000276
价格合理,0.000276,0.000339,0.000290,0.000295,0.000322,0.000228,0.000271,0.000293,0.000278,0.000292,0.000303
价格比,0.000175,0.000310,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000255,0.000292,0.000276
价能,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000232,0.000292,0.000276
价蛮,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
价钱,0.000800,0.000367,0.000348,0.000354,0.000322,0.000480,0.000352,0.005040,0.000417,0.000351,0.000331
任务,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
份上,0.000189,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000255,0.000292,0.000276
份货,0.000146,0.000282,0.000290,0.000324,0.000322,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
份量,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
企,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
企图,0.000146,0.000310,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
伊里,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
伐木,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000298,0.000293,0.000232,0.000292,0.000276
休闲裤,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000232,0.000292,0.000276
众,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
优,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000303
优价,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
优惠价,0.000189,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
优惠价格,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
优惠券,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
优惠卷,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
优点,0.000218,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
优质,0.000189,0.000310,0.000290,0.000295,0.000293,0.000228,0.000298,0.000293,0.000232,0.000292,0.000276
优质服务,0.000146,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000322,0.000232,0.000292,0.000276
伙,0.000218,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
伙伴,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
伙食费,0.001077,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
会,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
会员,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
会带,0.000146,0.000282,0.000290,0.000324,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
会痛,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
会长,0.000175,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
传,0.000189,0.000282,0.000290,0.000295,0.000293,0.000251,0.000271,0.000293,0.000232,0.000292,0.000276
传说,0.000175,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
伤人,0.000160,0.000282,0.000290,0.000295,0.000322,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
伤口,0.000160,0.000282,0.000290,0.000295,0.000293,0.000228,0.000271,0.000293,0.000232,0.000292,0.000276
伤心,0.000247,0.000310,0.000319,0.000295,0.000293,0.000228,0.000271,0.000293,0.000255,0.000292,0.000276
